assignment_id,family_id,vehicle_no,driver_no,assignment_type,exposure_factor,effective_date,status
ASS00000001,FAM000047,01,01,primary,1.0,2018-01-01,removed
ASS00000001,FAM000154,01,01,primary,1.0,2018-01-01,removed
ASS00000001,FAM000630,01,01,primary,1.0,2018-01-01,active
ASS00000001,FAM000772,01,01,primary,1.0,2018-01-01,removed
ASS00000001,FAM000254,01,01,primary,1.0,2018-01-02,removed
ASS00000001,FAM000108,01,01,primary,1.0,2018-01-03,removed
ASS00000001,FAM000681,01,01,primary,1.0,2018-01-03,removed
ASS00000001,FAM001081,01,01,primary,1.0,2018-01-03,removed
ASS00000001,FAM000230,01,01,primary,1.0,2018-01-04,removed
ASS00000001,FAM000617,01,01,primary,1.0,2018-01-04,removed
ASS00000001,FAM000827,01,01,primary,1.0,2018-01-04,removed
ASS00000001,FAM000665,01,01,primary,1.0,2018-01-05,removed
ASS00000001,FAM000716,01,01,primary,1.0,2018-01-05,removed
ASS00000001,FAM000623,01,01,primary,1.0,2018-01-06,removed
ASS00000001,FAM000719,01,01,primary,1.0,2018-01-06,active
ASS00000001,FAM000106,01,01,primary,1.0,2018-01-07,removed
ASS00000001,FAM000578,01,01,primary,1.0,2018-01-07,removed
ASS00000001,FAM000682,01,01,primary,1.0,2018-01-07,active
ASS00000001,FAM000960,01,01,primary,1.0,2018-01-07,removed
ASS00000001,FAM000066,01,01,primary,1.0,2018-01-08,active
ASS00000001,FAM000413,01,01,primary,1.0,2018-01-08,removed
ASS00000001,FAM000569,01,01,primary,1.0,2018-01-08,removed
ASS00000001,FAM000944,01,01,primary,1.0,2018-01-08,removed
ASS00000001,FAM000070,01,01,primary,1.0,2018-01-09,removed
ASS00000001,FAM000435,01,01,primary,1.0,2018-01-09,removed
ASS00000001,FAM000848,01,01,primary,1.0,2018-01-09,removed
ASS00000001,FAM000879,01,01,primary,1.0,2018-01-09,removed
ASS00000001,FAM000337,01,01,primary,1.0,2018-01-10,removed
ASS00000001,FAM000387,01,01,primary,1.0,2018-01-10,removed
ASS00000001,FAM000639,01,01,primary,1.0,2018-01-10,active
ASS00000001,FAM000958,01,01,primary,1.0,2018-01-11,removed
ASS00000001,FAM001041,01,01,primary,1.0,2018-01-11,removed
ASS00000001,FAM000250,01,01,primary,1.0,2018-01-12,removed
ASS00000001,FAM000465,01,01,primary,1.0,2018-01-12,removed
ASS00000001,FAM000693,01,01,primary,1.0,2018-01-12,removed
ASS00000001,FAM000868,01,01,primary,1.0,2018-01-12,removed
ASS00000001,FAM000877,01,01,primary,1.0,2018-01-12,removed
ASS00000001,FAM001065,01,01,primary,1.0,2018-01-12,removed
ASS00000001,FAM000537,01,01,primary,1.0,2018-01-13,removed
ASS00000001,FAM000050,01,01,primary,1.0,2018-01-14,removed
ASS00000001,FAM000222,01,01,primary,1.0,2018-01-14,removed
ASS00000001,FAM000485,01,01,primary,1.0,2018-01-14,removed
ASS00000001,FAM000832,01,01,primary,1.0,2018-01-14,active
ASS00000001,FAM000089,01,01,primary,1.0,2018-01-15,removed
ASS00000001,FAM000309,01,01,primary,1.0,2018-01-15,removed
ASS00000001,FAM000051,01,01,primary,1.0,2018-01-16,removed
